2018-07-14 08:50:56 INFO  OriginationTest:114 - log4j properties filepath: D:\Amarnath\TestNG\Artifacts\Settings\log4j.properties
2018-07-14 08:51:01 INFO  DriverManager:63 - Chrome has been opned for testing
2018-07-14 08:51:01 INFO  OriginationTest:86 - main : ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)
2018-07-14 08:51:01 INFO  OriginationTest:91 - Level1 :ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)
2018-07-14 08:51:01 INFO  GoogleModuleSteps:26 - Level2 :ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)
2018-07-14 08:51:23 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:51:24 INFO  GoogleSearch:19 - Is On Home Page
2018-07-14 08:51:24 INFO  GoogleModuleSteps:39 - Level2 :ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)
2018-07-14 08:51:24 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //input[@title='Search']] found
2018-07-14 08:51:24 INFO  PageObject:65 - Data has been sent to Element
2018-07-14 08:51:24 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:51:27 INFO  PageObject:93 - Clicked on the element [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //input[@aria-label='Google Search']]
2018-07-14 08:51:27 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:51:27 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (29afe2adf0ba85cb9206a5773dd4e8ed)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:51:27 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : null java.lang.IllegalArgumentException: Cannot find elements when the XPath expression is null.
2018-07-14 08:51:57 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : (//div[contains(@id,'rso')]//div[@class='bkWMgd']//div[@class='g']//h3[@class='r']//a)[0] org.openqa.selenium.TimeoutException: Expected condition failed: waiting for com.helpers.fluentWait$2@2bef51f2 (tried for 30 second(s) with 50 NANOSECONDS interval)
2018-07-14 08:51:57 INFO  OriginationTest:96 - Logs_Into_The_ApplicationForm
